1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
2011冰上雅姿盛典花滑界的强尼威尔，延续他的路线，以什么为了配合整场时尚大片，他把以往的经典花滑选段融为一段串烧式的表演，为了能让众多初次莅临的中国观众一饱眼福?,一曲《BadRomance》震慑全场，而
第7届亚洲冬季运动会于2011年01月30日-2011年02月06日在哈萨克斯坦阿斯塔纳和阿拉木图举行，哈萨克斯坦是什么?,亚洲除中、日、韩外第一个举办亚冬会的国家
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的中文名是什么?,2011年阿斯塔纳-阿拉木图亚洲冬季运动会
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的主办城市是什么?,哈萨克斯坦阿斯塔纳
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的举办时间是什么?,2011年01月30日-2011年02月06日
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的吉祥物是什么?,伊尔比
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的参赛运动员是什么?,843
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的下一届是什么?,2017年札幌亚冬会
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的外文名是什么?,The2011Astana
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的协办城市是什么?,哈萨克斯坦阿拉木图
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的口号是什么?,目的和团结精神的统一
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的参赛国家地区是什么?,26
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的上一届是什么?,2007年长春亚冬会
2011年阿斯塔纳-阿拉木图亚洲冬季运动会的比赛项目是什么?,5大项，69小项
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会共有什么?,4个国家获得金牌，8个国家登上奖牌榜
2011年阿斯塔纳-阿拉木图亚洲冬季运动会拜火教的萨迦人所用火把造型，火炬周围装饰有什么?,本届亚冬会吉祥物雪豹的翅膀图案
2011年阿斯塔纳-阿拉木图亚洲冬季运动会哈萨克斯坦全境传递，30日在阿斯塔纳结束，共有什么?,800名火炬手参与
2011年阿斯塔纳-阿拉木图亚洲冬季运动会而澳门和巴基斯坦在2007年之后没有什么?,参加在2011年哈萨克斯坦举行的亚冬会
2011年阿斯塔纳-阿拉木图亚洲冬季运动会努尔苏丹纳扎尔巴耶夫宣布什么?,第七届亚洲冬季运动会开幕
2011年阿斯塔纳-阿拉木图亚洲冬季运动会随后，哈萨克斯坦共和国总统努尔苏丹纳扎尔巴耶夫宣布什么?,第七届亚洲冬季运动会开幕
2011年阿斯塔纳-阿拉木图亚洲冬季运动会在精彩的文艺表演后，哈萨克斯坦总统纳扎尔巴耶夫宣布什么?,本届亚冬会落后，随后日本札幌的副市长接过了亚奥理事会会旗，四年之后，亚冬会的圣火将在札幌熊熊燃烧
2011年阿斯塔纳-阿拉木图亚洲冬季运动会随后哈萨克斯坦总统纳扎尔巴耶夫讲话，并宣布什么?,2011年第七届亚洲冬季运动会闭幕
2011年阿斯塔纳-阿拉木图亚洲冬季运动会前10分钟，体育场中出现一个金色的布景，形状如什么?,著名的皇冠头饰
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会共有4个国家获得了什么?,金牌，8个国家登上奖牌榜
2011年阿斯塔纳-阿拉木图亚洲冬季运动会吉尔吉斯斯坦和朝鲜也各自获得了什么?,一枚铜牌
2011年阿斯塔纳-阿拉木图亚洲冬季运动会，两个组的冠军都将获得了什么?,一枚金牌
2011年阿斯塔纳-阿拉木图亚洲冬季运动会第七届亚冬会总赛程已经确定是什么?,比赛于1月28日开始，1月30日举行开幕式，全部比赛2月6日结束，闭幕式也在2月6日举行
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会的项目设置出现较大变化是什么?,设速度滑冰、花样滑冰、短道速滑、冰球、高山滑雪、自由式滑雪、跳台滑雪、越野滑雪、冬季两项、定向滑雪、班迪球11个大项69个小项的比赛
2011年阿斯塔纳-阿拉木图亚洲冬季运动会，感谢哈萨克斯坦人民支持亚冬会，并表示是什么?,一届大规模、高水平的赛事，通过举办本次比赛，哈萨克斯坦也为申办2022年冬奥会增添了厚重的砝码
2011年阿斯塔纳-阿拉木图亚洲冬季运动会会徽正中央是两个中心重叠的红色和天蓝色雪花形象，象征什么?,冰与火在竞技精神里的融合
2011年阿斯塔纳-阿拉木图亚洲冬季运动会右上角的太阳象征什么?,运动员的大团结
2011年阿斯塔纳-阿拉木图亚洲冬季运动会山风呼啸而过，象征什么?,风神的演员来到小男孩面前，他敞开心扉，放声颂歌
2011年阿斯塔纳-阿拉木图亚洲冬季运动会太阳的传说》，舞台上一片金黄，象征什么?,太阳神的演员逐渐走来，舞台中央，花样滑冰运动员尽情表演
2011年阿斯塔纳-阿拉木图亚洲冬季运动会颁奖花束将采用产自哈南部地区的郁金香，配以麦穗环绕，象征什么?,骄傲、爱心以及富足
2011年阿斯塔纳-阿拉木图亚洲冬季运动会这一环节充分反映了哈萨克斯坦的民族性格，无论何时、何地，都渴望自由，喜欢无拘无束吗?,没错
2011年阿斯塔纳-阿拉木图亚洲冬季运动会阿斯塔纳-阿拉木图亚洲冬季运动会设多少项比赛项目?,11
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会设11个大项69个小项比赛项目，总共决出多少枚金牌?,69
2011年阿斯塔纳-阿拉木图亚洲冬季运动会亚洲冬季运动会设多少项比赛项目?,11
2011年阿斯塔纳-阿拉木图亚洲冬季运动会亚冬会设11个大项69个小项比赛项目，总共决出多少枚金牌?,69
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会共有4个国家获得金牌，多少个国家登上奖牌榜?,8
2011年阿斯塔纳-阿拉木图亚洲冬季运动会第多少分钟金冠静止不动?,1
2011年阿斯塔纳-阿拉木图亚洲冬季运动会亚洲奥林匹克理事会于多少年齐聚于此?,2011
2011年阿斯塔纳-阿拉木图亚洲冬季运动会仪式由多少位不同时代的运动员共同完成?,7
2011年阿斯塔纳-阿拉木图亚洲冬季运动会随后哈萨克斯坦总统纳扎尔巴耶夫讲话，并宣布多少年第七届亚洲冬季运动会闭幕?,2011
2011年阿斯塔纳-阿拉木图亚洲冬季运动会日本国旗后，下届亚冬会主办城市日本札幌的副市长接过了亚奥理事会会旗，多少年将是札幌第三次举办亚冬会?,2015
2011年阿斯塔纳-阿拉木图亚洲冬季运动会随着圣火的熄灭，为期八天的多少年第七届亚冬会在哈萨克斯坦圆满落幕?,2011
2011年阿斯塔纳-阿拉木图亚洲冬季运动会第七届亚冬会总赛程已经确定：比赛于1月28日开始，1月30日举行开幕式，全部比赛2月6日结束，闭幕式也在2月多少日举行?,6
2011年阿斯塔纳-阿拉木图亚洲冬季运动会班迪球11个大项多少个小项的比赛?,69
2011年阿斯塔纳-阿拉木图亚洲冬季运动会中国代表团参加除班迪球和高山滑雪之外的其它项目，共计8个大项多少多个小项的比赛?,50
2011年阿斯塔纳-阿拉木图亚洲冬季运动会而澳门和巴基斯坦在2007年之后没有参加在多少年哈萨克斯坦举行的亚冬会?,2011
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会设多少个大项69个小项比赛项目，总共决出69枚金牌?,11
2011年阿斯塔纳-阿拉木图亚洲冬季运动会第多少届亚洲冬季运动会于2011年01月30日-2011年02月06日在哈萨克斯坦阿斯塔纳和阿拉木图举行，哈萨克斯坦是亚洲除中、日、韩外第一个举办亚冬会的国家?,7
2011年阿斯塔纳-阿拉木图亚洲冬季运动会亚冬会设多少个大项69个小项比赛项目，总共决出69枚金牌?,11
2011年阿斯塔纳-阿拉木图亚洲冬季运动会本届亚冬会共有多少个国家获得金牌，8个国家登上奖牌榜?,4
2011年阿斯塔纳-阿拉木图亚洲冬季运动会前多少分钟，体育场中出现一个金色的布景，形状如著名的皇冠头饰?,10
2011年阿斯塔纳-阿拉木图亚洲冬季运动会银多少铜的成绩，完成了赛前定下的目标?,14
2011年阿斯塔纳-阿拉木图亚洲冬季运动会第七届亚冬会总赛程已经确定：比赛于多少月28日开始，1月30日举行开幕式，全部比赛2月6日结束，闭幕式也在2月6日举行?,1
2011年阿斯塔纳-阿拉木图亚洲冬季运动会班迪球多少个大项69个小项的比赛?,11
2011年阿斯塔纳-阿拉木图亚洲冬季运动会中国代表团参加除班迪球和高山滑雪之外的其它项目，共计多少个大项50多个小项的比赛?,8
2011年阿斯塔纳-阿拉木图亚洲冬季运动会而澳门和巴基斯坦在多少年之后没有参加在2011年哈萨克斯坦举行的亚冬会?,2007
2012年四大洲花样滑冰锦标赛国际滑联十分重要的赛事之一，届时将有什么?,四大洲12个国家和地区近150名运动员参加比赛
2012年四大洲花样滑冰锦标赛遗憾地是戴维斯/怀特的动作级出现较大失误，包括什么?,包括了舞蹈旋转、圆形步、中线步和同步捻转步都只定到三级，影响了最终的成绩
2012年四大洲花样滑冰锦标赛我国曾成功地承办过三届青少年花样滑冰大奖赛，但是承办如什么?,此大规模的国际冰上赛事还是第一次
2012年四大洲花样滑冰锦标赛戴维斯/怀特以179.40分获得了什么?,银牌
"2012年四大洲花样滑冰锦标赛自由舞瓦图/莫伊尔得到111.24分(技术分54.07/节目内容分57.17),两支舞蹈总分182.84逆转获得了什么?",金牌
2012年四大洲花样滑冰锦标赛戴维斯/怀特自由舞得到107.25分(技术分50.01/节目内容分57.24)，总分179.40获得了什么?,亚军
"2012年四大洲花样滑冰锦标赛的四大洲花样滑冰锦标赛每年举行一届,轮流在各个国家举办.花样滑冰被称为什么?",为世界上最美的体育运动，是体育与艺术结合最为紧密的一项运动
2012年四大洲花样滑冰锦标赛来自美洲、亚洲、非洲、大洋洲的多位世界顶尖选手将在这里为期多少天的较量?,5
2012年四大洲花样滑冰锦标赛大洋洲的多位世界顶尖选手将在这里为期多少天的较量?,5
2012年四大洲花样滑冰锦标赛莫伊尔，凭借自由滑的出色表现，以182.多少分逆转夺冠?,84
2012年四大洲花样滑冰锦标赛戴维斯/怀特以179.多少分获得银牌?,40
"2012年四大洲花样滑冰锦标赛自由舞瓦图/莫伊尔得到111.24分(技术分54.07/节目内容分57.17),两支舞蹈总分182.多少逆转获得金牌?",84
2012年四大洲花样滑冰锦标赛戴维斯/怀特自由舞得到107.25分(技术分50.01/节目内容分57.24)，总分179.多少获得亚军?,40
2012年四大洲花样滑冰锦标赛维沃/波杰自由舞得到99.03分(技术分47.42/节目内容分51.61)，总分163.多少拿下铜牌?,26
2012年四大洲花样滑冰锦标赛冰上舞蹈多少项，各路世界顶级水平的冰上高手届时将汇聚京城?,4
2012年四大洲花样滑冰锦标赛莫伊尔，凭借自由滑的出色表现，以多少.84分逆转夺冠?,182
2012年四大洲花样滑冰锦标赛戴维斯/怀特以多少.40分获得银牌?,179
2012年四大洲花样滑冰锦标赛维沃/波杰以多少.26分摘取铜牌，中国组合于小洋/王晨位列第七?,163
2012年四大洲花样滑冰锦标赛戴维斯/怀特自由舞得到多少.25分(技术分50.01/节目内容分57.24)，总分179.40获得亚军?,107
2012年四大洲花样滑冰锦标赛维沃/波杰自由舞得到多少.03分(技术分47.42/节目内容分51.61)，总分163.26拿下铜牌?,99
2012年因斯布鲁克青年冬奥会的中文名是什么?,2012年因斯布鲁克青年冬奥会
2012年因斯布鲁克青年冬奥会的举办地点是什么?,奥地利因斯布鲁克
2012年因斯布鲁克青年冬奥会的举办时间是什么?,2012年1月13日至22日
2012年因斯布鲁克青年冬奥会的参赛人数是什么?,1058年轻运动员
2012年因斯布鲁克青年冬奥会运动员将有什么?,1000人左右
2012年因斯布鲁克青年冬奥会奥运会的比赛项目，其中包括什么?,包括了冬季两项混合接力、雪橇团队接力赛、花样滑冰团体项目和女子跳台滑雪等
2012年因斯布鲁克青年冬奥会国际奥委会总部宣布什么?,，奥地利的因斯布鲁克获得2012年首届青年冬季奥运会举办权，芬兰的库奥皮奥落选
2012年因斯布鲁克青年冬奥会因斯布鲁克获得了什么?,2012年首届青年冬季奥运会举办权，芬兰的库奥皮奥落选
2012年因斯布鲁克青年冬奥会据因斯布鲁克组委会负责人皮特-巴亚介绍，首届青冬奥会将吸引50多个国家和地区的多少年轻运动员参赛?,1058
2012年因斯布鲁克青年冬奥会2012年首届青年冬季奥运会将于2012年1月13日至多少日在奥地利因斯布鲁克举行?,22
2012年因斯布鲁克青年冬奥会青冬奥会比赛项目与冬奥会大致相同，在10天的比赛中，将从15个大项中产生多少枚金牌?,63
2012年因斯布鲁克青年冬奥会运动员将有多少人左右?,1000
2012年因斯布鲁克青年冬奥会据因斯布鲁克组委会负责人皮特-巴亚介绍，首届青冬奥会将吸引多少多个国家和地区的1058年轻运动员参赛?,50
2012年因斯布鲁克青年冬奥会青冬奥会比赛项目与冬奥会大致相同，在多少天的比赛中，将从15个大项中产生63枚金牌?,10
2014-2015赛季短道速滑世界杯的中文名称是什么?,2014-2015赛季短道速滑世界杯
2014-2015赛季短道速滑世界杯的举办地点是什么?,中国上海
2014-2015赛季短道速滑世界杯的举办时间是什么?,41986
2014-2015赛季短道速滑世界杯共有什么?,包括中国选手韩天宇、石竟男、韩国选手申达吾、加拿大选手C-哈梅林、美国选手克鲁格尔以及以色列选手别卡诺夫在内的6名选手参加男子1500米决赛
2014-2015赛季短道速滑世界杯共有包括什么?,包括了中国选手韩天宇、石竟男、韩国选手申达吾、加拿大选手C-哈梅林、美国选手克鲁格尔以及以色列选手别卡诺夫在内的6名选手参加男子1500米决赛
2014-2015赛季短道速滑世界杯在女子500米第一次决赛里，范可新，实现赛季“三连冠”，韩雨桐则在女子1500米决赛里击败沈石溪，为中国队锦上添花，李红爽获得了什么?,铜牌
2014-2015赛季短道速滑世界杯沈石溪，为中国队锦上添花，李红爽获得了什么?,铜牌
2014-2015赛季短道速滑世界杯该项目前三甲分别被申达吾、C-哈梅林与克鲁格尔以2分16秒943、2分17秒041和2分17秒169的成绩获得了什么?,。中国选手陈德全参加了该项目的B组决赛，最终以2分20秒996的成绩排名该组第5位
2014-2015赛季短道速滑世界杯根据半决赛成绩，进入女子500米第一次决赛的四名选手按照道次排列为是什么?,中国选手范可新、韩国选手金雅朗、加拿大选手圣格莱斯以及英国选手克里斯蒂
2014-2015赛季短道速滑世界杯参加女子1500米决赛的六名选手分别是是什么?,韩国选手沈石溪、崔敏静、中国选手韩雨桐、李红爽、澳大利亚选手洛克特以及日本选手齐藤仁美
为什么2014-2015赛季短道速滑世界杯受伤，裁判随即吹停比赛?,因为随后，匈牙利队也尝试内道超越中国队，但却失控摔出赛道，同时将中国队石竟男带倒，石竟男
2014-2015赛季短道速滑世界杯武大靖、韩天宇、陈德全、石竟男等四名选手代表什么?,中国队出战男子5000米接力半决赛，与他们同场竞技的是加拿大、美国和匈牙利队
2014-2015赛季短道速滑世界杯开赛后，中国队采用了什么?,较为积极的滑跑战术，李红爽率先领滑，韩雨桐则位列第三位，两名韩国选手排名最后两位
2014-2015赛季短道速滑世界杯2014-15赛季短道速滑世界杯第三站比赛于2014年12月多少日在上海东方体育中心结束首个决赛日的比赛?,13
2014-2015赛季短道速滑世界杯刘少林在男子500米第一次决赛中分列1-多少道?,4
2014-2015赛季短道速滑世界杯克鲁格尔以及以色列选手别卡诺夫在内的6名选手参加男子多少米决赛?,1500
2014-2015赛季短道速滑世界杯该项目前三甲分别被申达吾、C-哈梅林与克鲁格尔以2分16秒943、2分17秒041和2分17秒多少的成绩获得?,169
2014-2015赛季短道速滑世界杯2分20秒996的成绩排名该组第多少位?,5
2014-2015赛季短道速滑世界杯赛程前段，中国队一直占据着比赛的主动，直到最后多少圈才被加拿大队反超?,10
2014-2015赛季短道速滑世界杯经过近20分钟的裁定，最终给出了加拿大、美国队晋级，中国队未完成，匈牙利队犯规的判罚，中国队也因此无缘12月多少日的决赛?,14
2014-2015赛季短道速滑世界杯短道速滑世界杯上海站将进入最后一个比赛日，共将产生男女500米第二次、多少米及接力项目的六枚金牌?,1000
2014-2015赛季短道速滑世界杯在女子多少米第一次决赛里，范可新，实现赛季“三连冠”，韩雨桐则在女子1500米决赛里击败沈石溪，为中国队锦上添花，李红爽获得铜牌?,500
2014-2015赛季短道速滑世界杯四分之一决赛第一小组中滑出多少秒081的成绩排名小组第三，无缘继续征战?,44
2014-2015赛季短道速滑世界杯最终，韩雨桐以多少分31秒225的成绩荣获冠军，这也是她本人的首枚世界杯个人金牌，沈溪石与李红爽分列第2、第3名，成绩是2分31秒300和2分31秒655?,2
2014-2015赛季短道速滑世界杯刘少林在男子多少米第一次决赛中分列1-4道?,500
2014-2015赛季短道速滑世界杯刘少林、谷米诺夫分获前三名，成绩是多少秒439、40秒526和1分12秒595?,40
2014-2015赛季短道速滑世界杯陈光参加了该项目的B组决赛并以多少秒699的成绩排名该组第2，另一名中国新秀张宏超在四分之一决赛第三小组中位列第3，成绩是42秒837，就此止步?,44
2014-2015赛季短道速滑世界杯克鲁格尔以及以色列选手别卡诺夫在内的多少名选手参加男子1500米决赛?,6
2014-2015赛季短道速滑世界杯该项目前三甲分别被申达吾、C-哈梅林与克鲁格尔以多少分16秒943、2分17秒041和2分17秒169的成绩获得?,2
2014-2015赛季短道速滑世界杯中国队派出范可新、韩雨桐、林悦、李红爽四名选手参加女子多少米接力半决赛，在于同组俄罗斯、日本和美国队的直接对话里，中国女将牢牢占据领先位次，以4分08秒309的成绩闯入12月14日下午的决赛?,3000
2014-2015赛季短道速滑世界杯武大靖、韩天宇、陈德全、石竟男等四名选手代表中国队出战男子多少米接力半决赛，与他们同场竞技的是加拿大、美国和匈牙利队?,5000
2014-2015赛季短道速滑世界杯经过近多少分钟的裁定，最终给出了加拿大、美国队晋级，中国队未完成，匈牙利队犯规的判罚，中国队也因此无缘12月14日的决赛?,20
2014-2015赛季短道速滑世界杯短道速滑世界杯上海站将进入最后一个比赛日，共将产生男女多少米第二次、1000米及接力项目的六枚金牌?,500
俄罗斯当地时间2014年2月23日晚20点14分（北京时间2月24日凌晨），2014索契冬奥会闭幕式准时开始。闭幕式场馆上放立着204根荧光管，而闭幕式的主题则是什么?,“俄罗斯印象”
2014冬季奥运会闭幕式的时间是什么?,当地时间2014年2月23日
2014冬季奥运会闭幕式的地点是什么?,索契
2014冬季奥运会闭幕式值得一提的是，加拿大队拿到了男女冰壶、男女冰球四个团体项目的金牌，代表团共有多少名选手拿到金牌?,63
2014冬季奥运会闭幕式打字机声，下面是俄罗斯历代文学作家的展示，璀璨的俄罗斯文学有什么?,不少名字是我们耳熟能详，契诃夫、普希金、托尔斯泰等等，俄罗斯的文学对世界有着巨大的贡献，最终白色的书页变成了雪片飞向半空
2014冬季奥运会闭幕式随后表演的是俄罗斯的传统节目马戏，有什么?,人踩着独轮车，有人举着呼啦圈进场，随后在场地中央瞬间搭起了一个大帐蓬，有小丑抛红球，也有翻跟斗的，好不热闹
2014冬季奥运会闭幕式随着富有什么?,浓郁高丽文化韵味的平昌8分钟上演，冬奥会会旗传递到韩国江原道平昌郡守（相当我国的县长）李锡来手中
2014冬季奥运会闭幕式运动员进场与表演者一起狂欢，其中包括什么?,包括了短道速滑名将朴升智、沈石溪，速滑金牌得主李相花
2014冬季奥运会闭幕式幽默方式弥补开幕式遗憾是什么?,索契冬奥会闭幕式的主题是俄罗斯印象，现场204根光柱形成不同层次的蓝色，20多位演员们各撑着一着飞鸟进入场地内，柳波芙与她的两位小伙伴坐在驶来的巨船上，在进行钓鱼
2014冬季奥运会闭幕式平昌8分钟表演是什么?,在一段精彩的文艺表演后，进行的是每届奥运会一个重要的仪式，奥运五环旗交接仪式
2014冬季奥运会闭幕式国际奥委会主席巴赫发言是什么?,谢谢你，索契！谢谢你，俄罗斯！今晚我们可以说，俄罗斯实现了他们所有的承诺！这份承诺弥足珍贵！他评价此次冬奥会是一届运动员的奥运会
2014冬季奥运会闭幕式一位老者缓步入场，他所代表什么?,的是韩国5000年的历史，老者手捧一台古琴，盘腿坐在地上演奏，现场地面上出现水墨画的痕迹
2014冬季奥运会闭幕式在开幕式上，俄罗斯人闹出了最大的乌龙事件——象征什么?,着奥林匹克的五环在俄罗斯人的精心准备下，最终便“演绎”成了4.5环，闭幕式上俄罗斯人用自己的幽默弥补了这一遗憾
2014冬季奥运会闭幕式俄罗斯当地时间2014年2月23日晚20点14分(北京时间2月24日凌晨)，多少索契冬奥会闭幕式准时开始?,2014
2014冬季奥运会闭幕式残奥会将于同年3月9日～多少日举行?,18
2014冬季奥运会闭幕式闭幕式场馆上放立着多少根荧光管，而闭幕式的主题则是“俄罗斯印象”?,204
2014冬季奥运会闭幕式俄罗斯当地时间多少年2月23日晚20点14分(北京时间2月24日凌晨)，2014索契冬奥会闭幕式准时开始?,2014
2014冬季奥运会闭幕式在开幕式上，俄罗斯人闹出了最大的乌龙事件——象征着奥林匹克的五环在俄罗斯人的精心准备下，最终便“演绎”成了多少.5环，闭幕式上俄罗斯人用自己的幽默弥补了这一遗憾?,4
2014冬季奥运会闭幕式刘秋宏，她参加了短道速滑女子多少个项目的争夺，遗憾的是没能拿到一枚奖牌，但正是她这种为了梦想默默坚持的精神值得尊敬?,4
2014冬季奥运会闭幕式随后是越野滑雪男子多少公里自由式集体出发的颁奖仪式，俄罗斯队包揽前三名，冠军是亚历山大-莱格科夫，他领先第二名0.3秒的优势抵达终点，全场第二次奏起俄罗斯国歌?,50
2014冬季奥运会闭幕式一位老者缓步入场，他所代表的是韩国多少年的历史，老者手捧一台古琴，盘腿坐在地上演奏，现场地面上出现水墨画的痕迹?,5000
2014冬季奥运会闭幕式残奥会将于同年多少月9日～18日举行?,3
2014年世界男子冰球锦标赛有16支队伍参加于2014年5月9日至多少日在白俄罗斯明斯克举行的顶级锦标赛?,25
2014年世界男子冰球锦标赛有多少支队伍参加于2014年5月9日至25日在白俄罗斯明斯克举行的顶级锦标赛?,16
2014年冬季残疾人奥林匹克运动会的中文名是什么?,2014年索契冬季残奥会
2014年冬季残疾人奥林匹克运动会的项目数是什么?,5个大项72个小项
2014年冬季残疾人奥林匹克运动会的届数是什么?,第11届
2014年冬季残疾人奥林匹克运动会的上一届是什么?,2010年温哥华冬季残奥会
2014年冬季残疾人奥林匹克运动会的下一届是什么?,2018年平昌冬季残奥会
2014年冬季残疾人奥林匹克运动会的外文名是什么?,2014SochiWinterOlympics
2014年冬季残疾人奥林匹克运动会的比赛时间是什么?,2014年3月7日-2014年3月16日
2014年冬季残疾人奥林匹克运动会的主办国家是什么?,俄罗斯
2014年冬季残疾人奥林匹克运动会的主办城市是什么?,索契
2014年冬季残疾人奥林匹克运动会的开幕式场馆是什么?,菲施特奥林匹克体育场
2014年冬季残疾人奥林匹克运动会该中心包括两个独立的场馆，每个场馆都有起点、终点区和独立的轨道系统，还有什么?,专门的拍摄区和热身区
2014年冬季残疾人奥林匹克运动会内设有什么?,专门的轨道，越野滑雪，空中技巧比赛，莫卧儿比赛，Boardercross，平行大回转和半管活动相结合的独特条件，这将是令人叹为观止的世界顶级的比赛
2014年冬季残疾人奥林匹克运动会伯纳德Russi设计，索契将有什么?,世界级的轨道为来自世界各地的运动员选材精良，训练和比赛
2014年冬季残疾人奥林匹克运动会冰爬犁曲棍球世界锦标赛(2013年05月)，邀请赛Tounrament(女子)(2013年10月)Shayba冰球中心的设施非常完善，这里包括什么?,包括了冰上皇宫大剧院，马里冰宫和训练场
2014年冬季残疾人奥林匹克运动会该中心包括什么?,包括了两个独立的场馆，每个场馆都有起点、终点区和独立的轨道系统，还有专门的拍摄区和热身区
2014年冬季残疾人奥林匹克运动会冬季残奥会举办地归属，俄罗斯的索契战胜对手韩国的平昌，获得了什么?,2014年冬季残奥会的举办权，两个城市的票差为4票
2014年冬季残疾人奥林匹克运动会索契冬奥会期间将举办高山滑雪项目是什么?,下坡，结合(速降和回转)，大回转和超级大回转
2014年冬季残疾人奥林匹克运动会Shayba很形象准确地描绘了该运动场的目的，是什么?,由于俄罗斯人在运动场上高呼来支持运动员的一种方式，体现了俄罗斯冬季运动后的热情奔放的性格
2014年冬季残疾人奥林匹克运动会中心的设计象征着民主、和平，是什么?,索契冬季奥运会和残奥会无障碍简单化的特点，是一个可移动的场地，因此奥运会后有可能被拆除运输至俄罗斯其他城市
为什么2014年冬季残疾人奥林匹克运动会奥运会后有可能被拆除运输至俄罗斯其他城市?,因为曲棍球比赛Shayba冰球中心是一个可移动的场地，
2014年冬季残疾人奥林匹克运动会的这个名字源于地理名称为什么?,Rosa，占地约1820公顷的Aibga岭斜坡上升以上Mzymta河
2014年冬季残疾人奥林匹克运动会中心的设计象征什么?,着民主、和平，这是索契冬季奥运会和残奥会无障碍简单化的特点，是一个可移动的场地，因此奥运会后有可能被拆除运输至俄罗斯其他城市
2014年冬季残疾人奥林匹克运动会2014年冬季残疾人奥林匹克运动会开幕式将于当地时间2014年3月7日20：14(UTC+4)，北京时间2014年03月8日00：14，菲什特奥林匹克体育场举行，多少年索契冬季残奥会正式拉开序幕?,2014
2014年冬季残疾人奥林匹克运动会冬季残奥会举办地归属，俄罗斯的索契战胜对手韩国的平昌，获得2014年冬季残奥会的举办权，两个城市的票差为多少票?,4
2014年冬季残疾人奥林匹克运动会俄罗斯的索契地处黑海东部沿岸，位于俄罗斯首都莫斯科以南大约1500公里，是俄罗斯首屈一指的海滨疗养地，人口多少万?,40
2014年冬季残疾人奥林匹克运动会冬季两项中心位于波峰和Psekhako的斜坡，内6.5-多少公里远北酯卡拉斯拉雅波利亚纳?,10
2014年冬季残疾人奥林匹克运动会项目轨道的总长度为多少公里?,20
2014年冬季残疾人奥林匹克运动会冬季残奥会举办地归属，俄罗斯的索契战胜对手韩国的平昌，获得多少年冬季残奥会的举办权，两个城市的票差为4票?,2014
2014年冬季残疾人奥林匹克运动会俄罗斯的索契地处黑海东部沿岸，位于俄罗斯首都莫斯科以南大约多少公里，是俄罗斯首屈一指的海滨疗养地，人口40万?,1500
2014年冬季残疾人奥林匹克运动会冬奥会开幕式、闭幕式以及颁奖仪式上，体育场的座椅可从多少.5万个增加到4.5万个，并且符合国际足联的比赛要求?,2
2014年冬季残疾人奥林匹克运动会冬季两项中心位于波峰和Psekhako的斜坡，内多少.5-10公里远北酯卡拉斯拉雅波利亚纳?,6
2014年埼玉世界花样滑冰锦标赛的中文名是什么?,2014年埼玉世界花样滑冰锦标赛
2014年埼玉世界花样滑冰锦标赛的比赛时间是什么?,2014年3月24日-3月30日
2014年埼玉世界花样滑冰锦标赛的男单冠军是什么?,羽生结弦
2014年埼玉世界花样滑冰锦标赛的双人滑冠军是什么?,萨维琴科/索尔科维
2014年埼玉世界花样滑冰锦标赛的比赛场馆是什么?,埼玉超级竞技场
2014年埼玉世界花样滑冰锦标赛的外文名是什么?,2014WorldFigureSkatingChampionships
2014年埼玉世界花样滑冰锦标赛的比赛地点是什么?,埼玉市，日本
2014年埼玉世界花样滑冰锦标赛的女单冠军是什么?,浅田真央
2014年埼玉世界花样滑冰锦标赛的冰舞冠军是什么?,卡佩里尼/拉诺特
2014年埼玉世界花样滑冰锦标赛国际滑联（ISU）在其官方网站宣布什么?,2014年世界花样滑冰锦标赛将在日本东京或者埼玉举行
2014年埼玉世界花样滑冰锦标赛国际滑联在多方面考虑之后，决定多少年花滑世锦赛移师至俄罗斯首都莫斯科举行?,2011
2014年埼玉世界花样滑冰锦标赛国际滑联（ISU）在其官方网站宣布，多少年世界花样滑冰锦标赛将在日本东京或者埼玉举行?,2014
冰上雅姿盛典是什么?,由中国花样滑冰传奇爱侣申雪赵宏博于2010年参与创立，是中国第一个世界级花样滑冰表演平台
2015冰上雅姿盛典的中文名是什么?,2015冰上雅姿盛典
2015冰上雅姿盛典的活动主题是什么?,爱你爱我（LOVEULOVEME）
2015冰上雅姿盛典的特邀嘉宾是什么?,张震岳
2015冰上雅姿盛典的外文名是什么?,2015ArtistryOnIce
